# x_m,y_m,w_tr_right_m,w_tr_left_m
-32.9170,41.3749,1.5104,1.5104
-32.8545,41.3124,1.5258,1.5258
-32.7920,41.2499,1.5104,1.5104
-32.7295,41.2499,1.5117,1.5117
-32.6670,41.1874,1.5104,1.5104
-32.6045,41.1874,1.5104,1.5104
-32.5420,41.1249,1.5117,1.5117
-32.4795,41.0624,1.4909,1.4909
-32.4170,41.0624,1.5117,1.5117
-32.3545,40.9999,1.5104,1.5104
-32.2920,40.9999,1.5104,1.5104
-32.2295,40.9374,1.5104,1.5104
-32.1670,40.9374,1.5104,1.5104
-32.1045,40.8749,1.5117,1.5117
-32.0420,40.8124,1.4909,1.4909
-31.9795,40.8124,1.5117,1.5117
-31.9170,40.7499,1.5104,1.5104
-31.8545,40.7499,1.5104,1.5104
-31.7920,40.6874,1.5104,1.5104
-31.7295,40.6874,1.5104,1.5104
-31.6670,40.6249,1.5117,1.5117
-31.6045,40.5624,1.4909,1.4909
